gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,100,Blue,team,,,Fredit BRION Challengers,oe:team:68911b3329146587617ab2973106e23,,Karma,Caitlyn,Syndra,Thresh,Lulu,1713,0,9,19,19,9,19,0,0,0,0,1,,,,0.3152,0.9807,0,1,3,1,3,0,0,0,0,0,1,,0,0,1,2,0,0,0,0,1,3,6,1,1,5,0,0,1,56560,1981.0858,,3537.1979,2364.7285,74,2.5919,51,1.7863,33,197,6.9002,47070,28222,988.5114,,44570,-0.0283123,,680,160,,,29.4221,16218,18213,322,14695,18076,330,1523,137,-8,3,5,0,0,0,3,24806,28001,487,24699,29618,510,107,-1617,-23,5,10,6,6,18,5
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,200,Red,team,,,Nongshim RedForce Challengers,oe:team:d2dc3681437e2beb2bb4742477108ff,,Lee Sin,Twisted Fate,Zoe,Nautilus,Rell,1713,1,19,9,62,19,9,6,0,0,0,0,,,,0.6655,0.9807,1,3,1,3,1,2,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,6,3,0,0,0,5,1,0,79912,2799.0193,,3009.6673,2872.3292,93,3.2574,51,1.7863,45,205,7.1804,52617,33769,1182.8021,,45850,0.0283123,,792,184,,,34.1856,14695,18076,330,16218,18213,322,-1523,-137,8,0,0,3,3,5,0,24699,29618,510,24806,28001,487,-107,1617,23,6,18,5,5,10,6
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,1,Blue,top,Photon,oe:player:fd22b656b23ca07a276181a4953ba2c,T1 Challengers,oe:team:6dcacec00a6ba7576c5ab7f30c995cd,Gragas,Sona,Jarvan IV,Caitlyn,Lulu,Lucian,2114,0,0,5,2,3,16,0,0,0,0,0,0,0,0,0.0851,0.5393,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,9484,269.1769,0.159184,872.8666,943.3396,9,0.2554,7,0.1987,4,28,0.7947,11076,6488,184.1438,0.187033,10900,,245,241,4,,,6.9536,2880,3995,57,3774,5124,87,-894,-1129,-30,0,1,1,1,0,1,4673,7020,110,6157,7672,140,-1484,-652,-30,0,1,1,1,0,1
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,2,Blue,jng,Forest,oe:player:9170917b7452bef889def6c113af150,T1 Challengers,oe:team:6dcacec00a6ba7576c5ab7f30c995cd,Lee Sin,Sona,Jarvan IV,Caitlyn,Lulu,Lucian,2114,0,1,2,1,3,16,0,0,0,0,0,0,0,0,0.0851,0.5393,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,0,2,8529,242.0719,0.143154,833.3018,1021.7313,18,0.5109,13,0.3690,12,52,1.4759,10732,6144,174.3803,0.177116,10500,,215,60,155,,,6.1022,3384,3665,71,3581,3639,69,-197,26,2,1,0,0,1,1,0,5067,5742,108,5073,5728,105,-6,14,3,1,0,0,1,1,0
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,3,Blue,mid,TolanD,oe:player:157108ff2b64591e5703c64dbae3a2e,T1 Challengers,oe:team:6dcacec00a6ba7576c5ab7f30c995cd,Orianna,Sona,Jarvan IV,Caitlyn,Lulu,Lucian,2114,0,2,4,0,3,16,0,0,0,0,0,0,0,1,0.0851,0.5393,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,23082,655.1183,0.387418,395.4494,366.6982,18,0.5109,8,0.2271,9,50,1.4191,15149,10561,299.7446,0.30445,14045,,371,339,32,,,10.5298,3186,4288,83,3725,4415,80,-539,-127,3,0,0,2,1,1,0,5197,6816,139,5581,7225,139,-384,-409,0,0,0,2,1,1,0
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,4,Blue,bot,Trigger,oe:player:5bc99370722c5ecbfa9b3c1e17338e6,T1 Challengers,oe:team:6dcacec00a6ba7576c5ab7f30c995cd,Jhin,Sona,Jarvan IV,Caitlyn,Lulu,Lucian,2114,0,0,2,2,3,16,0,0,0,0,0,0,0,0,0.0851,0.5393,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,15187,431.0407,0.254905,553.6235,267.3037,12,0.3406,8,0.2271,5,38,1.0785,13511,8923,253.2545,0.25723,12400,,334,310,24,,,9.4797,3302,3371,89,3341,3652,93,-39,-281,-4,0,0,0,0,0,0,5116,5895,143,5078,5797,139,38,98,4,0,0,0,0,0,0
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,5,Blue,sup,Kabbie,oe:player:dd3361ceddb2b1b84803d87950634af,T1 Challengers,oe:team:6dcacec00a6ba7576c5ab7f30c995cd,Rakan,Sona,Jarvan IV,Caitlyn,Lulu,Lucian,2114,0,0,3,2,3,16,0,0,0,0,0,0,0,0,0.0851,0.5393,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,3297,93.5762,0.0553383,328.7796,510.5393,62,1.7597,19,0.5393,17,109,3.0937,7161,2573,73.0274,0.0741705,6100,,44,44,0,,,1.2488,2187,2143,17,2137,2218,15,50,-75,2,0,0,0,0,1,0,3469,3375,33,3396,3332,32,73,43,1,0,0,0,0,1,0
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,6,Red,top,Meaning,oe:player:7277de5f2ed6f17c61f1f25594591a8,Liiv SANDBOX Challengers,oe:team:5380cdbc2ad2b8082624f48f99f6672,Gangplank,LeBlanc,Yuumi,Twisted Fate,Karma,Alistar,2114,1,2,2,6,16,3,0,0,0,0,0,0,0,0,0.4541,0.5393,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,23632,670.7285,0.315704,503.8411,411.2015,13,0.3690,6,0.1703,8,30,0.8515,17877,13289,377.1712,0.276487,16650,,341,328,13,,,9.6783,3774,5124,87,2880,3995,57,894,1129,30,1,0,1,0,1,1,6157,7672,140,4673,7020,110,1484,652,30,1,0,1,0,1,1
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,7,Red,jng,HamBak,oe:player:845ea84cec22236278388f19fcd20bf,Liiv SANDBOX Challengers,oe:team:5380cdbc2ad2b8082624f48f99f6672,Nidalee,LeBlanc,Yuumi,Twisted Fate,Karma,Alistar,2114,1,6,0,7,16,3,1,0,0,0,1,1,0,0,0.4541,0.5393,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,2,0,18903,536.5090,0.252528,790.0757,722.4409,15,0.4257,21,0.5960,13,62,1.7597,14685,10097,286.5752,0.210074,13025,,253,38,215,,,7.1807,3581,3639,69,3384,3665,71,197,-26,-2,1,1,0,1,0,0,5073,5728,105,5067,5742,108,6,-14,-3,1,1,0,1,0,0
ESPORTSTMNT01_2690219,complete,,LCK CL,2022,Spring,0,2022-01-10 08:38:24,1,12.01,8,Red,mid,Ten10,oe:player:22b6f6057ca1b2f7a0cdf1b9a8de831,Liiv SANDBOX Challengers,oe:team:5380cdbc2ad2b8082624f48f99f6672,Renekton,LeBlanc,Yuumi,Twisted Fate,Karma,Alistar,2114,1,5,0,7,16,3,0,0,0,0,1,0,1,0,0.4541,0.5393,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,11261,319.6121,0.150438,872.1854,950.0946,17,0.4825,14,0.3974,14,55,1.5610,14999,10411,295.4872,0.216607,14550,,281,273,8,,,7.9754,3725,4415,80,3186,4288,83,539,127,-3,1,1,0,0,0,2,5581,7225,139,5197,6816,139,384,409,0,1,1,0,0,0,2
